Provincia de residencia,Causas (lista reducida),Sexo,Edad,Total,Tipo de causa,Enfermedad
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,Menores de 1 año,120,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 1 a 14 años,76,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 15 a 29 años,230,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 30 a 39 años,302,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 40 a 44 años,337,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 45 a 49 años,648,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 50 a 54 años,1022,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 55 a 59 años,1634,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 60 a 64 años,2313,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 65 a 69 años,2981,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 70 a 74 años,3887,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 75 a 79 años,5447,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 80 a 84 años,6950,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 85 a 89 años,8417,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 90 a 94 años,7797,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Ambos sexos,De 95 años y más,3665,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,Menores de 1 año,67,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 1 a 14 años,38,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 15 a 29 años,161,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 30 a 39 años,201,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 40 a 44 años,241,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 45 a 49 años,413,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 50 a 54 años,665,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 55 a 59 años,1091,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 60 a 64 años,1530,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 65 a 69 años,1954,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 70 a 74 años,2486,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 75 a 79 años,3293,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 80 a 84 años,3703,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 85 a 89 años,3807,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 90 a 94 años,2889,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Hombres,De 95 años y más,1019,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,Menores de 1 año,53,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 1 a 14 años,38,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 15 a 29 años,69,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 30 a 39 años,101,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 40 a 44 años,96,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 45 a 49 años,235,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 50 a 54 años,357,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 55 a 59 años,543,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 60 a 64 años,783,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 65 a 69 años,1027,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 70 a 74 años,1401,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 75 a 79 años,2154,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 80 a 84 años,3247,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 85 a 89 años,4610,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 90 a 94 años,4908,Todo,Todo
Comunitat Valenciana,001-102 I-XXII.Todas las causas,Mujeres,De 95 años y más,2646,Todo,Todo
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Menores de 1 año,6,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 1 a 14 años,4,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 15 a 29 años,3,Infecciosas,Infecciosas
Comunitat Valenciana,001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,De 30 a 39 años,5,Infecciosas,Infecciosas
